codregion,cod_comuna,Region,Comuna,Total,Validos,Apruebo,Rechazo,Nulo,Blanco,Validos_per,Apruebo_per,Rechazo_per,Nulo_per,Blanco_per,Electores,Participacion,Participacion_per,Comuna_Servel
16,16305,Ñuble,San Nicolás,4741,4686,3334,1352,34,21,0.988399071925754,71.14810072556551,28.851899274434484,0.7171482809533853,0.44294452647120863,11446,4741,0.4142058360999476,SAN NICOLAS
16,16304,Ñuble,San Fabián,1898,1879,1367,512,12,7,0.9899894625922023,72.75146354443854,27.248536455561467,0.6322444678609063,0.36880927291886195,4841,1898,0.39206775459615784,SAN FABIAN
16,16303,Ñuble,Ñiquén,3258,3231,2003,1228,17,10,0.9917127071823204,61.993190962550294,38.006809037449706,0.521792510742787,0.3069367710251688,10388,3258,0.3136311128224875,ÑIQUEN
16,16302,Ñuble,Coihueco,7229,7157,4420,2737,47,25,0.9900401161986444,61.75771971496437,38.242280285035626,0.6501590814773828,0.3458292986581823,21839,7229,0.3310133247859334,COIHUECO
16,16301,Ñuble,San Carlos,107465,107334,101605,5729,89,42,0.9987809984646164,94.66245551269868,5.337544487301321,0.08281766156423022,0.03908249197413111,47391,18128,0.38251988774239837,SAN CARLOS
16,16207,Ñuble,Treguaco,2115,2097,1569,528,9,9,0.9914893617021276,74.8211731044349,25.17882689556509,0.425531914893617,0.425531914893617,5883,2115,0.3595104538500765,TREHUACO
16,16206,Ñuble,Ranquil,2199,2177,1505,672,15,7,0.9899954524783993,69.13183279742765,30.86816720257235,0.6821282401091405,0.3183265120509322,5541,2199,0.39685977260422306,RANQUIL
16,16205,Ñuble,Portezuelo,2038,2026,1420,606,7,5,0.9941118743866536,70.0888450148075,29.911154985192496,0.34347399411187435,0.24533856722276742,5758,2038,0.3539423410906565,PORTEZUELO
16,16204,Ñuble,Ninhue,1920,1900,1353,547,14,6,0.9895833333333334,71.21052631578947,28.789473684210527,0.7291666666666666,0.3125,6027,1920,0.31856645097063213,NINHUE
16,16203,Ñuble,Coelemu,6789,6740,4538,2202,28,21,0.992782442185889,67.32937685459942,32.6706231454006,0.4124318750920607,0.30932390631904555,15253,6789,0.4450927686356782,COELEMU
16,16202,Ñuble,Cobquecura,2075,2054,1595,459,10,11,0.9898795180722891,77.65335929892892,22.34664070107108,0.48192771084337355,0.5301204819277108,5643,2075,0.367712209817473,COBQUECURA
16,16201,Ñuble,Quirihue,3986,3940,3159,781,32,14,0.9884596086302058,80.17766497461929,19.82233502538071,0.8028098344204716,0.35122930255895635,10935,3986,0.36451760402377686,QUIRIHUE
16,16108,Ñuble,San Ignacio,4950,4903,3255,1648,32,15,0.9905050505050506,66.38792575973893,33.612074240261066,0.6464646464646464,0.30303030303030304,14396,4950,0.34384551264240065,SAN IGNACIO
16,16107,Ñuble,Quillón,5913,5865,4072,1793,32,16,0.9918822932521563,69.42881500426257,30.571184995737426,0.5411804498562489,0.27059022492812446,15370,5913,0.38471047495120364,QUILLON
16,16106,Ñuble,Pinto,4300,4249,2235,2014,29,22,0.988139534883721,52.60061190868439,47.3993880913156,0.6744186046511628,0.5116279069767441,11019,4300,0.39023504855250024,PINTO
16,16105,Ñuble,Pemuco,2880,2859,1935,924,10,11,0.9927083333333333,67.68100734522561,32.3189926547744,0.3472222222222222,0.3819444444444444,8132,2880,0.35415641908509593,PEMUCO
16,16104,Ñuble,El Carmen,3774,3743,2390,1353,18,13,0.9917859035506095,63.85252471279722,36.14747528720278,0.47694753577106513,0.3444621091679915,12336,3774,0.30593385214007784,EL CARMEN
16,16103,Ñuble,Chillán Viejo,11216,11161,8076,3085,35,20,0.9950962910128388,72.35910760684526,27.640892393154736,0.3120542082738944,0.1783166904422254,21631,11216,0.5185150940779437,CHILLAN VIEJO
16,16102,Ñuble,Bulnes,7803,7737,5574,2163,44,22,0.9915417147251058,72.04342768514928,27.95657231485072,0.5638856849929514,0.2819428424964757,20518,7803,0.38030022419339116,BULNES
16,16101,Ñuble,Chillán,75888,75486,54338,21148,280,122,0.9947027197975965,71.98420899239593,28.015791007604058,0.3689647902171621,0.1607632300231921,152870,75888,0.4964217962975077,CHILLAN
15,15202,Arica y Parinacota,General Lagos,313,300,220,80,9,4,0.9584664536741214,73.33333333333333,26.666666666666668,2.8753993610223643,1.2779552715654952,2158,313,0.14504170528266913,GENERAL LAGOS
15,15201,Arica y Parinacota,Putre,1075,1065,719,346,7,3,0.9906976744186047,67.51173708920187,32.48826291079812,0.6511627906976745,0.27906976744186046,5554,1075,0.1935541951746489,PUTRE
15,15102,Arica y Parinacota,Camarones,919,915,756,159,2,2,0.9956474428726877,82.62295081967214,17.37704918032787,0.2176278563656148,0.2176278563656148,3471,919,0.264765197349467,CAMARONES
15,15101,Arica y Parinacota,Arica,84396,83777,64067,19710,453,166,0.9926655291719987,76.47325638301682,23.526743616983183,0.5367552964595479,0.19669178634058485,180315,84396,0.46804758339572416,ARICA
14,14204,Los Ríos,Río Bueno,11644,11544,7935,3609,56,44,0.9914118859498454,68.73700623700624,31.262993762993762,0.48093438680865686,0.37787701820680175,30616,11644,0.3803240135876666,RIO BUENO
14,14203,Los Ríos,Lago Ranco,3348,3301,2093,1208,26,21,0.9859617682198327,63.40502877915783,36.59497122084217,0.7765830346475507,0.6272401433691757,9253,3348,0.36182859613098456,LAGO RANCO
14,14202,Los Ríos,Futrono,5732,5668,3484,2184,38,26,0.988834612700628,61.46788990825688,38.53211009174312,0.6629448709002094,0.45359385903698535,14439,5732,0.39698040030473025,FUTRONO
14,14201,Los Ríos,La Unión,14907,14811,10748,4063,70,26,0.993560072449185,72.56768617919114,27.432313820808858,0.4695780505802643,0.17441470450124102,35500,14907,0.4199154929577465,LA UNION
14,14108,Los Ríos,Panguipulli,12449,12269,8572,3697,108,72,0.9855410073098241,69.86714483658,30.132855163420004,0.867539561410555,0.5783597076070367,34621,12449,0.3595794460009821,PANGUIPULLI
14,14107,Los Ríos,Paillaco,7673,7622,5434,2188,27,24,0.9933533168252313,71.29362372080818,28.706376279191815,0.3518832268995178,0.31278509057734916,19020,7673,0.4034174553101998,PAILLACO
14,14106,Los Ríos,Mariquina,7772,7717,5934,1783,31,24,0.9929233144621719,76.89516651548529,23.104833484514707,0.3988677303139475,0.3088008234688626,18622,7772,0.41735581570185804,MARIQUINA
14,14105,Los Ríos,Máfil,2853,2834,2049,785,10,9,0.9933403434980722,72.30063514467184,27.699364855328156,0.3505082369435682,0.31545741324921134,6998,2853,0.40768791083166617,MAFIL
14,14104,Los Ríos,Los Lagos,7512,7449,5399,2050,38,25,0.9916134185303515,72.47952745334945,27.52047254665056,0.5058572949946752,0.33280085197018106,18879,7512,0.39790243127284286,LOS LAGOS
14,14103,Los Ríos,Lanco,6697,6645,5084,1561,28,24,0.9922353292519038,76.50865312264861,23.491346877351393,0.4180976556667164,0.3583694191428998,16031,6697,0.41775310336223564,LANCO
14,14102,Los Ríos,Corral,2379,2361,1991,370,13,5,0.9924337957124842,84.32867429055484,15.67132570944515,0.546448087431694,0.2101723413198823,5446,2379,0.43683437385236873,CORRAL
14,14101,Los Ríos,Valdivia,75160,74783,58607,16176,256,121,0.9949840340606706,78.36941550887234,21.630584491127664,0.34060670569451834,0.1609898882384247,137420,75160,0.5469363993596275,VALDIVIA
13,13605,Metropolitana,Peñaflor,4169,4147,2928,1219,18,4,0.9947229551451188,70.60525681215336,29.394743187846633,0.43175821539937637,0.0959462700887503,10232,4169,0.40744722439405784,PEÑAFLOR
13,13604,Metropolitana,Padre Hurtado,26116,25999,22498,3501,95,22,0.995519987746975,86.53409746528713,13.465902534712873,0.3637616786644203,0.08423954663807628,42789,26116,0.6103437799434434,PADRE HURTADO
13,13603,Metropolitana,Isla de Maipo,15223,15143,12378,2765,59,21,0.9947447940616173,81.74073829492174,18.259261705078252,0.3875714379557249,0.13794915588254614,27290,15223,0.557823378526933,ISLA DE MAIPO
13,13602,Metropolitana,El Monte,15076,14984,12606,2378,64,28,0.9938975855664632,84.12973838761346,15.870261612386546,0.42451578668081713,0.1857256566728575,27418,15076,0.5498577576774382,EL MONTE
